"מס""ד",שם המוצר,תיאור,מתי להמליץ עליו,קישור למוצר
1,סבון לניקוי שוטף | לפרקט לכה או למינציה | bona cleaner 1L,סבון לניקוי שוטף לפרקטים בגימור לכה או למינציה.,לניקוי יומיומי של פרקטים בגימור לכה או למינציה.,https://iroko.pomo.co.il/product/bona-cleaner-1l/
2,סבון לניקוי שוטף – לפרקט לכה ולמינציה master cleaner | WOCA | 1L,סבון לניקוי שוטף לפרקטים בגימור לכה או למינציה.,לניקוי יומיומי של פרקטים בגימור לכה או למינציה.,https://iroko.pomo.co.il/product/woca-master-cleaner-1l/
3,סבון לניקוי שוטף – לפרקט לכה ולמינציה | daily cleaner 1L/5L | בלנשון blanchon,סבון לניקוי שוטף לפרקטים בגימור לכה או למינציה.,לניקוי יומיומי של פרקטים בגימור לכה או למינציה.,https://iroko.pomo.co.il/product/blanchon-daily-cleaner-1l-5l/
4,סבון לניקוי עמוק | לפרקט בגמר לכה/שמן | bona remover 1l,סבון לניקוי עמוק לפרקטים בגימור לכה או שמן.,לניקוי יסודי והסרת לכלוך קשה מפרקטים.,https://iroko.pomo.co.il/product/bona-remover-1l/
5,פד לניקוי פרקט,פד לניקוי פרקט.,לניקוי פרקטים.,https://iroko.pomo.co.il/product/wood-floor-cleaning-pad/
6,סבון לניקוי עמוק | לפרקט לכה/למינציה | remover blanchon 1L/5L | בלנשון,סבון לניקוי עמוק לפרקטים בגימור לכה או למינציה.,לניקוי יסודי והסרת לכלוך קשה מפרקטים.,https://iroko.pomo.co.il/product/blanchon-remover-1l-5l/
7,חומר חידוש והגנה – מרענן לכה | לפרקט לכה או למינציה | 1L bona freshen up פרשן אפ,חומר לחידוש והגנה על פרקטים בגימור לכה או למינציה.,לחידוש והגנה על פרקטים בגימור לכה או למינציה.,https://iroko.pomo.co.il/product/bona-freshen-up-1l/
8,חומר חידוש והגנה | לפרקט לכה או למינציה | PROTECTOR | בלנשון Blanchon) 1L /5L),חומר לחידוש והגנה על פרקטים בגימור לכה או למינציה.,לחידוש והגנה על פרקטים בגימור לכה או למינציה.,https://iroko.pomo.co.il/product/blanchon-protector-1l-5l/
9,מגב איכותי לנקיון פרקט כולל פד ניקוי | BLANCHON,מגב איכותי לניקוי פרקט כולל פד ניקוי.,לניקוי פרקטים.,https://iroko.pomo.co.il/product/blanchon-cleaning-mop/
10,ספריי מופ לפרקט -ערכת מגב לנקיון הפרקט | BONA,ערכת מגב לניקיון הפרקט כולל ספריי.,לניקוי פרקטים.,https://iroko.pomo.co.il/product/bona-spray-mop/
11,ערכת מגב לנקיון פרקט,ערכת מגב לניקיון פרקט.,לניקוי פרקטים.,https://iroko.pomo.co.il/product/wood-floor-cleaning-kit/
12,ספריי סבון לניקוי יומיומי לפרקט בגמר לכה/שמן | BONA,ספריי סבון לניקוי יומיומי לפרקטים בגימור לכה או שמן.,לניקוי יומיומי של פרקטים בגימור לכה או שמן.,https://iroko.pomo.co.il/product/bona-wood-floor-cleaner-spray/
13,פוליש לפרקט למינציה ופרקט בגמר לכה בגון מבריק בונה – 1L bona polish,פוליש לפרקט למינציה ופרקט בגימור לכה בגוון מבריק.,לחידוש הברק של פרקטים בגימור לכה או למינציה.,https://iroko.pomo.co.il/product/bona-polish-1l/
14,פד לניקוי אבק מפרקט,פד לניקוי אבק מפרקט.,לניקוי אבק מפרקטים.,https://iroko.pomo.co.il/product/wood-floor-dust-pad/
15,שמן לתחזוקת פרקט עץ WOCA Maintenance Oil,שמן ייחודי לתחזוקה ושימור של פרקטי עץ בגימור שמן.,לריענון והגנה על פרקטים בגימור שמן.,https://iroko.pomo.co.il/product/woca-maintenance-oil/
16,שמן תחזוקה לפרקט שמן BONA Care Oil,"שמן לתחזוקת פרקטי עץ בגימור שמן,  משמר את המראה ומאריך את חיי הפרקט.",לריענון ושימור פרקטים בגימור שמן.,https://iroko.pomo.co.il/product/bona-care-oil/
17,סבון לניקוי פרקט עץ בשמן WOCA Natural Soap,"סבון עדין לניקוי פרקטי עץ בגימור שמן,  מסיר לכלוך מבלי לפגוע בגימור.",לניקוי יומיומי של פרקטי עץ בגימור שמן.,https://iroko.pomo.co.il/product/woca-natural-soap/
18,ערכת ניקוי ותחזוקה לפרקט שמן BONA,ערכת תחזוקה הכוללת סבון ושמן לחידוש וניקוי פרקטי עץ בגימור שמן.,לחידוש וניקוי פרקטי עץ בגימור שמן.,https://iroko.pomo.co.il/product/bona-oiled-floor-maintenance-kit/
